case_id,method,method_key,Precision,Recall,F1,AUC_PR,NDCG15,NDCG25,matching_policy,legacy_semantic_matches,source_findings_relative_path
Mixed_medium_03,CDHC,CDHC,0.4,0.56,0.4666666666666667,0.48472755079131397,0.7420884529441225,0.7996759809893145,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_03/CDHC_Analysis/findings.json
Mixed_medium_03,IF-PDAG,IF-PDAG,0.4857142857142857,0.68,0.5666666666666667,0.4774931934400918,0.6538479352874087,0.868338126484452,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_03/IF-PDAG_Analysis/findings.json
Mixed_medium_03,VGAE,VGAE,0.6571428571428571,0.92,0.7666666666666667,0.782437104190437,0.6126315696419508,0.7578409523013931,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_03/VGAE_Analysis/findings.json
Mixed_medium_03,GATE,GATE,0.6285714285714286,0.88,0.7333333333333334,0.8302703920664893,0.7393227571572376,0.8432766742670564,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_03/GATE_Analysis/findings.json
Mixed_medium_03,DistMult,DistMult,0.5428571428571428,0.76,0.6333333333333332,0.40193888234874947,0.44705388631285103,0.6264995599322769,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_03/DistMult_Analysis/findings.json
Mixed_medium_03,NOTEARS,NOTEARS,0.6285714285714286,0.88,0.7333333333333334,0.6746396438938175,0.596020774773548,0.7573876851808138,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_03/NOTEARS_Analysis/findings.json
Mixed_medium_03,GES,GES,0.6571428571428571,0.92,0.7666666666666667,0.6044042057439303,0.5214354573484501,0.7637137408585498,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_03/GES_Analysis/findings.json
Mixed_medium_03,GOLEM,GOLEM,0.6285714285714286,0.88,0.7333333333333334,0.764267656909256,0.7681928487628967,0.8121717072834145,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_03/GOLEM_Analysis/findings.json
Mixed_medium_03,PC-VGAE,PCVGAE,0.9166666666666666,0.88,0.8979591836734694,0.8792882972991553,0.8113276789333002,0.9081212311313595,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_03/PCVGAE_Analysis/1_Final_Results/pc_pcvgae_audit/final_aggregated_uncertainty_map.json
Mixed_medium_03,PC-GATE,PCGATE,0.8846153846153846,0.92,0.9019607843137256,0.9055660254756117,0.768275868762967,0.9004205972334172,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_03/PCGATE_Analysis/1_Final_Results/pc_pcgate_audit/final_aggregated_uncertainty_map.json
Mixed_medium_04,CommonNeighbors,CommonNeighbors,0.7428571428571429,0.8666666666666667,0.8,0.7575334415647834,0.671459626048652,0.8075996238235776,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_04/CommonNeighbors_Analysis/findings.json
Mixed_medium_04,Peter-Clark,Peter-Clark,0.9375,1.0,0.967741935483871,0.986447899589458,0.778625922579954,0.8975053295455717,strict,0,seek_data_v3_deep_enhanced/results/mediumcase/Mixed/Mixed_medium_04/Peter-Clark_Analysis/findings.json
